clip_index,trick_index,trick,switch?,inline?,obstacle,slowmo,obstacle 2,location,hasbank,video,
4,5,bs 5050 bs 180,,,curb,,slappy,,,411 Wheels of Fortune,
5,6,fs 5050,,,rail,,,,,411 Wheels of Fortune,
6,7,fs 5050,,,bank to rail,,bank,,1,411 Wheels of Fortune,
7,8,bs 5-0,,,quarterpipe,,bank,,1,411 Wheels of Fortune,
8,9,bs tailslide,,,quarterpipe,,bank,,1,411 Wheels of Fortune,
9,10,nollie nose manual,,1,manual,,curb,,,411 Wheels of Fortune,
9,11,ollie,,1,flat,,,,,411 Wheels of Fortune,
10,12,fs 180,,,stairs,,over rail,,,411 Wheels of Fortune,
11,13,bs boardslide fakie,,,rail,,,,,411 Wheels of Fortune,
12,14,fs lipslide,,,ledge,,,,,411 Wheels of Fortune,
13,15,bs boardslide,,,hubba,,,,,411 Wheels of Fortune,
14,16,bs 5050,,,hubba,,,,,411 Wheels of Fortune,
15,17,bs 5-0,,,hubba,,,,,411 Wheels of Fortune,
16,18,bs smith,,,rail,,handrail,,,411 Wheels of Fortune,
17,18,bs smith,,,rail,1,handrail,,,411 Wheels of Fortune,
